"","yr_month","HIGH","LOW","MED"
"1","1992_APR",157623.910444386,146174.057211325,148082
"2","1992_AUG",152280.762138065,149368.898114875,151064
"3","1992_DEC",162142.385863043,146701.571277153,155504
"4","1992_FEB",150315.281427912,139097.790939715,147270
"5","1992_JAN",148180.531118356,138283.076707099,146913
"6","1992_JUL",160292.452783898,145347.804178592,150809
"7","1992_JUN",158115.405192137,140761.778928343,149821
"8","1992_MAR",149089.397061378,139707.821223181,146831
"9","1992_MAY",155522.651342545,144659.482118078,149015
"10","1992_NOV",158224.623033796,150228.680365738,153605
"11","1992_OCT",157158.039605197,151195.648707867,153577
"12","1992_SEP",154387.779958341,145721.911469735,152595
"13","1993_APR",168537.910444386,157088.057211325,158996
"14","1993_AUG",163707.762138065,160795.898114875,162491
"15","1993_DEC",174739.385863043,159298.571277153,168101
"16","1993_FEB",159337.281427912,148119.790939715,156292
"17","1993_JAN",158792.531118356,148895.076707099,157525
"18","1993_JUL",172315.452783898,157370.804178592,162832
"19","1993_JUN",168465.405192137,151111.778928343,160171
"20","1993_MAR",157032.397061378,147650.821223181,154774
"21","1993_MAY",167131.651342545,156268.482118078,160624
"22","1993_NOV",171212.623033796,163216.680365738,166593
"23","1993_OCT",168292.039605197,162329.648707867,164711
"24","1993_SEP",165077.779958341,156411.911469735,163285
"25","1994_APR",182640.910444386,171191.057211325,173099
"26","1994_AUG",178505.762138065,175593.898114875,177289
"27","1994_DEC",188130.385863043,172689.571277153,181492
"28","1994_FEB",172697.281427912,161479.790939715,169652
"29","1994_JAN",168771.531118356,158874.076707099,167504
"30","1994_JUL",184284.452783898,169339.804178592,174801
"31","1994_JUN",182601.405192137,165247.778928343,174307
"32","1994_MAR",175033.397061378,165651.821223181,172775
"33","1994_MAY",178847.651342545,167984.482118078,172340
"34","1994_NOV",185314.623033796,177318.680365738,180695
"35","1994_OCT",184150.039605197,178187.648707867,180569
"36","1994_SEP",180568.779958341,171902.911469735,178776
"37","1995_APR",191243.910444386,179794.057211325,181702
"38","1995_AUG",188030.762138065,185118.898114875,186814
"39","1995_DEC",197447.385863043,182006.571277153,190809
"40","1995_FEB",182517.281427912,171299.790939715,179472
"41","1995_JAN",183690.531118356,173793.076707099,182423
"42","1995_JUL",194953.452783898,180008.804178592,185470
"43","1995_JUN",194382.405192137,177028.778928343,186088
"44","1995_MAR",183254.397061378,173872.821223181,180996
"45","1995_MAY",190050.651342545,179187.482118078,183543
"46","1995_NOV",193671.623033796,185675.680365738,189052
"47","1995_OCT",190127.039605197,184164.648707867,186546
"48","1995_SEP",189130.779958341,180464.911469735,187338
"49","1996_APR",204253.910444386,192804.057211325,194712
"50","1996_AUG",197431.762138065,194519.898114875,196215
"51","1996_DEC",207829.385863043,192388.571277153,201191
"52","1996_FEB",195314.281427912,184096.790939715,192269
"53","1996_JAN",190434.531118356,180537.076707099,189167
"54","1996_JUL",205712.452783898,190767.804178592,196229
"55","1996_JUN",204421.405192137,187067.778928343,196127
"56","1996_MAR",196251.397061378,186869.821223181,193993
"57","1996_MAY",202717.651342545,191854.482118078,196210
"58","1996_NOV",204819.623033796,196823.680365738,200200
"59","1996_OCT",204069.039605197,198106.648707867,200488
"60","1996_SEP",200635.779958341,191969.911469735,198843
"61","1997_APR",212913.910444386,201464.057211325,203372
"62","1997_AUG",208859.762138065,205947.898114875,207643
"63","1997_DEC",216017.385863043,200576.571277153,209379
"64","1997_FEB",207318.281427912,196100.790939715,204273
"65","1997_JAN",203681.531118356,193784.076707099,202414
"66","1997_JUL",216532.452783898,201587.804178592,207049
"67","1997_JUN",212960.405192137,195606.778928343,204666
"68","1997_MAR",207223.397061378,197841.821223181,204965
"69","1997_MAY",208183.651342545,197320.482118078,201676
"70","1997_NOV",213601.623033796,205605.680365738,208982
"71","1997_OCT",211645.039605197,205682.648707867,208064
"72","1997_SEP",210090.779958341,201424.911469735,208298
"73","1998_APR",223164.910444386,211715.057211325,213623
"74","1998_AUG",214885.762138065,211973.898114875,213669
"75","1998_DEC",229864.385863043,214423.571277153,223226
"76","1998_FEB",212577.281427912,201359.790939715,209532
"77","1998_JAN",210951.531118356,201054.076707099,209684
"78","1998_JUL",224336.452783898,209391.804178592,214853
"79","1998_JUN",224618.405192137,207264.778928343,216324
"80","1998_MAR",213050.397061378,203668.821223181,210792
"81","1998_MAY",221126.651342545,210263.482118078,214619
"82","1998_NOV",225769.623033796,217773.680365738,221150
"83","1998_OCT",223046.039605197,217083.648707867,219465
"84","1998_SEP",217504.779958341,208838.911469735,215712
"85","1999_APR",238519.910444386,227070.057211325,228978
"86","1999_AUG",237805.762138065,234893.898114875,236589
"87","1999_DEC",252136.385863043,236695.571277153,245498
"88","1999_FEB",229285.281427912,218067.790939715,226240
"89","1999_JAN",225287.531118356,215390.076707099,224020
"90","1999_JUL",243416.452783898,228471.804178592,233933
"91","1999_JUN",240220.405192137,222866.778928343,231926
"92","1999_MAR",229665.397061378,220283.821223181,227407
"93","1999_MAY",237745.651342545,226882.482118078,231238
"94","1999_NOV",245081.623033796,237085.680365738,240462
"95","1999_OCT",241141.039605197,235178.648707867,237560
"96","1999_SEP",239308.779958341,230642.911469735,237516
"97","2000_APR",255330.910444386,243881.057211325,245789
"98","2000_AUG",248817.762138065,245905.898114875,247601
"99","2000_DEC",257241.385863043,241800.571277153,250603
"100","2000_FEB",250178.281427912,238960.790939715,247133
"101","2000_JAN",244750.531118356,234853.076707099,243483
"102","2000_JUL",256667.452783898,241722.804178592,247184
"103","2000_JUN",256472.405192137,239118.778928343,248178
"104","2000_MAR",252105.397061378,242723.821223181,249847
"105","2000_MAY",252732.651342545,241869.482118078,246225
"106","2000_NOV",254844.623033796,246848.680365738,250225
"107","2000_OCT",254848.039605197,248885.648707867,251267
"108","2000_SEP",253604.779958341,244938.911469735,251812
"109","2001_APR",264300.910444386,252851.057211325,254759
"110","2001_AUG",255786.762138065,252874.898114875,254570
"111","2001_DEC",263190.385863043,247749.571277153,256552
"112","2001_FEB",255775.281427912,244557.790939715,252730
"113","2001_JAN",254003.531118356,244106.076707099,252736
"114","2001_JUL",262498.452783898,247553.804178592,253015
"115","2001_JUN",262314.405192137,244960.778928343,254020
"116","2001_MAR",252604.397061378,243222.821223181,250346
"117","2001_MAY",261769.651342545,250906.482118078,255262
"118","2001_NOV",264982.623033796,256986.680365738,260363
"119","2001_OCT",271653.039605197,265690.648707867,268072
"120","2001_SEP",251648.779958341,242982.911469735,249856
"121","2002_APR",270861.910444386,259412.057211325,261320
"122","2002_AUG",266191.762138065,263279.898114875,264975
"123","2002_DEC",272440.385863043,256999.571277153,265802
"124","2002_FEB",260722.281427912,249504.790939715,257677
"125","2002_JAN",257643.531118356,247746.076707099,256376
"126","2002_JUL",272294.452783898,257349.804178592,262811
"127","2002_JUN",268109.405192137,250755.778928343,259815
"128","2002_MAR",259318.397061378,249936.821223181,257060
"129","2002_MAY",264123.651342545,253260.482118078,257616
"130","2002_NOV",268178.623033796,260182.680365738,263559
"131","2002_OCT",265592.039605197,259629.648707867,262011
"132","2002_SEP",262442.779958341,253776.911469735,260650
"133","2003_APR",276781.910444386,265332.057211325,267240
"134","2003_AUG",279117.762138065,276205.898114875,277901
"135","2003_DEC",284205.385863043,268764.571277153,277567
"136","2003_FEB",266244.281427912,255026.790939715,263199
"137","2003_JAN",268543.531118356,258646.076707099,267276
"138","2003_JUL",282876.452783898,267931.804178592,273393
"139","2003_JUN",278726.405192137,261372.778928343,270432
"140","2003_MAR",270100.397061378,260718.821223181,267842
"141","2003_MAY",273854.651342545,262991.482118078,267347
"142","2003_NOV",282941.623033796,274945.680365738,278322
"143","2003_OCT",278360.039605197,272397.648707867,274779
"144","2003_SEP",278205.779958341,269539.911469735,276413
"145","2004_APR",292512.910444386,281063.057211325,282971
"146","2004_AUG",289125.762138065,286213.898114875,287909
"147","2004_DEC",306404.385863043,290963.571277153,299766
"148","2004_FEB",284011.281427912,272793.790939715,280966
"149","2004_JAN",280151.531118356,270254.076707099,278884
"150","2004_JUL",296824.452783898,281879.804178592,287341
"151","2004_JUN",292440.405192137,275086.778928343,284146
"152","2004_MAR",288490.397061378,279108.821223181,286232
"153","2004_MAY",294757.651342545,283894.482118078,288250
"154","2004_NOV",300797.623033796,292801.680365738,296178
"155","2004_OCT",298636.039605197,292673.648707867,295055
"156","2004_SEP",294969.779958341,286303.911469735,293177
"157","2005_APR",314251.910444386,302802.057211325,304710
"158","2005_AUG",310620.762138065,307708.898114875,309404
"159","2005_DEC",319745.385863043,304304.571277153,313107
"160","2005_FEB",303031.281427912,291813.790939715,299986
"161","2005_JAN",298995.531118356,289098.076707099,297728
"162","2005_JUL",324045.452783898,309100.804178592,314562
"163","2005_JUN",319465.405192137,302111.778928343,311171
"164","2005_MAR",302216.397061378,292834.821223181,299958
"165","2005_MAY",308079.651342545,297216.482118078,301572
"166","2005_NOV",317901.623033796,309905.680365738,313282
"167","2005_OCT",314615.039605197,308652.648707867,311034
"168","2005_SEP",311876.779958341,303210.911469735,310084
"169","2006_APR",332310.910444386,320861.057211325,322769
"170","2006_AUG",326129.762138065,323217.898114875,324913
"171","2006_DEC",334238.385863043,318797.571277153,327600
"172","2006_FEB",322932.281427912,311714.790939715,319887
"173","2006_JAN",324062.531118356,314165.076707099,322795
"174","2006_JUL",334521.452783898,319576.804178592,325038
"175","2006_JUN",331089.405192137,313735.778928343,322795
"176","2006_MAR",323686.397061378,314304.821223181,321428
"177","2006_MAY",327790.651342545,316927.482118078,321283
"178","2006_NOV",327986.623033796,319990.680365738,323367
"179","2006_OCT",326328.039605197,320365.648707867,322747
"180","2006_SEP",324821.779958341,316155.911469735,323029
"181","2007_APR",338797.910444386,327348.057211325,329256
"182","2007_AUG",335040.762138065,332128.898114875,333824
"183","2007_DEC",343467.385863043,328026.571277153,336829
"184","2007_FEB",330938.281427912,319720.790939715,327893
"185","2007_JAN",328189.531118356,318292.076707099,326922
"186","2007_JUL",342103.452783898,327158.804178592,332620
"187","2007_JUN",339458.405192137,322104.778928343,331164
"188","2007_MAR",333077.397061378,323695.821223181,330819
"189","2007_MAY",340396.651342545,329533.482118078,333889
"190","2007_NOV",345002.623033796,337006.680365738,340383
"191","2007_OCT",340671.039605197,334708.648707867,337090
"192","2007_SEP",338223.779958341,329557.911469735,336431
"193","2008_APR",345642.910444386,334193.057211325,336101
"194","2008_AUG",335697.762138065,332785.898114875,334481
"195","2008_DEC",300597.385863043,285156.571277153,293959
"196","2008_FEB",337514.281427912,326296.790939715,334469
"197","2008_JAN",338541.531118356,328644.076707099,337274
"198","2008_JUL",346254.452783898,331309.804178592,336771
"199","2008_JUN",347126.405192137,329772.778928343,338832
"200","2008_MAR",336817.397061378,327435.821223181,334559
"201","2008_MAY",343890.651342545,333027.482118078,337383
"202","2008_NOV",306904.623033796,298908.680365738,302285
"203","2008_OCT",318409.039605197,312446.648707867,314828
"204","2008_SEP",329571.779958341,320905.911469735,327779
"205","2009_APR",302960.910444386,291511.057211325,293419
"206","2009_AUG",310797.762138065,307885.898114875,309581
"207","2009_DEC",315139.385863043,299698.571277153,308501
"208","2009_FEB",300978.281427912,289760.790939715,297933
"209","2009_JAN",299832.531118356,289935.076707099,298565
"210","2009_JUL",312384.452783898,297439.804178592,302901
"211","2009_JUN",309965.405192137,292611.778928343,301671
"212","2009_MAR",295115.397061378,285733.821223181,292857
"213","2009_MAY",303567.651342545,292704.482118078,297060
"214","2009_NOV",311809.623033796,303813.680365738,307190
"215","2009_OCT",307543.039605197,301580.648707867,303962
"216","2009_SEP",302991.779958341,294325.911469735,301199
"217","2010_APR",327656.910444386,316207.057211325,318115
"218","2010_AUG",318717.762138065,315805.898114875,317501
"219","2010_DEC",336612.385863043,321171.571277153,329974
"220","2010_FEB",311852.281427912,300634.790939715,308807
"221","2010_JAN",310407.531118356,300510.076707099,309140
"222","2010_JUL",325199.452783898,310254.804178592,315716
"223","2010_JUN",323673.405192137,306319.778928343,315379
"224","2010_MAR",318500.397061378,309118.821223181,316242
"225","2010_MAY",322492.651342545,311629.482118078,315985
"226","2010_NOV",331890.623033796,323894.680365738,327271
"227","2010_OCT",328522.039605197,322559.648707867,324941
"228","2010_SEP",322138.779958341,313472.911469735,320346
"229","2011_APR",349532.910444386,338083.057211325,339991
"230","2011_AUG",343309.762138065,340397.898114875,342093
"231","2011_DEC",356352.385863043,340911.571277153,349714
"232","2011_FEB",337724.281427912,326506.790939715,334679
"233","2011_JAN",334019.531118356,324122.076707099,332752
"234","2011_JUL",352037.452783898,337092.804178592,342554
"235","2011_JUN",350153.405192137,332799.778928343,341859
"236","2011_MAR",340465.397061378,331083.821223181,338207
"237","2011_MAY",346171.651342545,335308.482118078,339664
"238","2011_NOV",354342.623033796,346346.680365738,349723
"239","2011_OCT",352212.039605197,346249.648707867,348631
"240","2011_SEP",347124.779958341,338458.911469735,345332
"241","2012_APR",366082.910444386,354633.057211325,356541
"242","2012_AUG",359695.762138065,356783.898114875,358479
"243","2012_DEC",372307.385863043,356866.571277153,365669
"244","2012_FEB",360323.281427912,349105.790939715,357278
"245","2012_JAN",353865.531118356,343968.076707099,352598
"246","2012_JUL",363775.452783898,348830.804178592,354292
"247","2012_JUN",360691.405192137,343337.778928343,352397
"248","2012_MAR",361447.397061378,352065.821223181,359189
"249","2012_MAY",362763.651342545,351900.482118078,356256
"250","2012_NOV",368012.623033796,360016.680365738,363393
"251","2012_OCT",365595.039605197,359632.648707867,362014
"252","2012_SEP",364678.779958341,356012.911469735,362886
"253","2013_APR",378155.910444386,366706.057211325,368614
"254","2013_AUG",373984.762138065,371072.898114875,372768
"255","2013_DEC",384063.385863043,368622.571277153,377425
"256","2013_FEB",375618.281427912,364400.790939715,372573
"257","2013_JAN",368943.531118356,359046.076707099,367676
"258","2013_JUL",383763.452783898,368818.804178592,374280
"259","2013_JUN",381188.405192137,363834.778928343,372894
"260","2013_MAR",371833.397061378,362451.821223181,369575
"261","2013_MAY",377178.651342545,366315.482118078,370671
"262","2013_NOV",379310.623033796,371314.680365738,374691
"263","2013_OCT",377777.039605197,371814.648707867,374196
"264","2013_SEP",375402.779958341,366736.911469735,373610
"265","2014_APR",395396.910444386,383947.057211325,385855
"266","2014_AUG",391140.762138065,388228.898114875,389924
"267","2014_DEC",393826.385863043,378385.571277153,387188
"268","2014_FEB",380711.281427912,369493.790939715,377666
"269","2014_JAN",374303.531118356,364406.076707099,373036
"270","2014_JUL",397024.452783898,382079.804178592,387541
"271","2014_JUN",396520.405192137,379166.778928343,388226
"272","2014_MAR",384614.397061378,375232.821223181,382356
"273","2014_MAY",392079.651342545,381216.482118078,385572
"274","2014_NOV",397045.623033796,389049.680365738,392426
"275","2014_OCT",393764.039605197,387801.648707867,390183
"276","2014_SEP",390270.779958341,381604.911469735,388478
"277","2015_APR",396776.910444386,385327.057211325,387235
"278","2015_AUG",396160.762138065,393248.898114875,394944
"279","2015_DEC",NA,NA,NA
"280","2015_FEB",384477.281427912,373259.790939715,381432
"281","2015_JAN",385156.531118356,375259.076707099,383889
"282","2015_JUL",404583.452783898,389638.804178592,395100
"283","2015_JUN",400249.405192137,382895.778928343,391955
"284","2015_MAR",389923.397061378,380541.821223181,387665
"285","2015_MAY",398775.651342545,387912.482118078,392268
"286","2015_NOV",399779.623033796,391783.680365738,395160
"287","2015_OCT",398143.039605197,392180.648707867,394562
"288","2015_SEP",396221.779958341,387555.911469735,394429