"","country","year","working_hours"
"1","Australia","1980.0",34.578845684345
"2","Canada","1980.0",34.8499990609976
"3","Denmark","1980.0",31.8980759840745
"4","Finland","1980.0",35.5634624774639
"5","France","1980.0",35.4230769230769
"6","Iceland","1980.0",35.8461538461538
"7","Italy","1980.0",35.746347280649
"8","Japan","1980.0",40.7884615384615
"9","Korea, Rep.","1980.0",55.3076923076923
"10","Norway","1980.0",30.3788452148438
"11","Spain","1980.0",36.7769235464243
"12","Sweden","1980.0",29.1692317082332
"13","Switzerland","1980.0",34.703845684345
"14","United Kingdom","1980.0",34.0865384615385
"15","United States","1980.0",34.8076923076923
"16","Australia","1981.0",34.578845684345
"17","Canada","1981.0",34.5807682917668
"18","Denmark","1981.0",31.375
"19","Finland","1981.0",35.6692317082332
"20","France","1981.0",34.7692307692308
"21","Iceland","1981.0",35.7115384615385
"22","Italy","1981.0",35.8673072228065
"23","Japan","1981.0",40.5
"24","Korea, Rep.","1981.0",55.6153846153846
"25","Norway","1981.0",30.1961529071514
"26","Spain","1981.0",36.1211547851562
"27","Sweden","1981.0",29.0076927771935
"28","Switzerland","1981.0",34.3346158541166
"29","United Kingdom","1981.0",32.9884620079627
"30","United States","1981.0",34.6346153846154
"31","Australia","1982.0",34.3769226074219
"32","Canada","1982.0",34.1807697002704
"33","Denmark","1982.0",31.5711529071514
"34","Finland","1982.0",35.390385554387
"35","France","1982.0",33.9423076923077
"36","Iceland","1982.0",35.7692307692308
"37","Italy","1982.0",36.086923452524
"38","Japan","1982.0",40.4615384615385
"39","Korea, Rep.","1982.0",55.8653846153846
"40","Norway","1982.0",29.9788466233474
"41","Spain","1982.0",35.7173086313101
"42","Sweden","1982.0",29.2788461538462
"43","Switzerland","1982.0",34.1230773925781
"44","United Kingdom","1982.0",33.2750009390024
"45","United States","1982.0",34.5576923076923
"46","Australia","1983.0",34.1173072228065
"47","Belgium","1983.0",34
"48","Canada","1983.0",34
"49","Denmark","1983.0",31.4961547851562
"50","Finland","1983.0",35.0519221379207
"51","France","1983.0",33.8076923076923
"52","Greece","1983.0",41.3846153846154
"53","Hungary","1983.0",40.6153846153846
"54","Iceland","1983.0",35.7692307692308
"55","Ireland","1983.0",38.0961538461538
"56","Italy","1983.0",36.0728853665865
"57","Japan","1983.0",40.2884615384615
"58","Korea, Rep.","1983.0",56.2115384615385
"59","Luxembourg","1983.0",34.2115384615385
"60","Norway","1983.0",29.8692298302284
"61","Spain","1983.0",35.1038466233474
"62","Sweden","1983.0",29.4576932466947
"63","Switzerland","1983.0",33.8423086313101
"64","United Kingdom","1983.0",33.0115379920373
"65","United States","1983.0",34.9230769230769
"66","Australia","1984.0",34.4153841458834
"67","Belgium","1984.0",34.4807692307692
"68","Canada","1984.0",34.1076918381911
"69","Denmark","1984.0",31.3980759840745
"70","Finland","1984.0",34.8788452148438
"71","France","1984.0",33.5769230769231
"72","Greece","1984.0",40.1153846153846
"73","Hungary","1984.0",39.2115384615385
"74","Iceland","1984.0",35.7307692307692
"75","Ireland","1984.0",37.7692307692308
"76","Italy","1984.0",35.8732698880709
"77","Japan","1984.0",40.5384615384615
"78","Korea, Rep.","1984.0",56.1346153846154
"79","Luxembourg","1984.0",33.9230769230769
"80","Norway","1984.0",29.7730759840745
"81","Spain","1984.0",34.2423072228065
"82","Sweden","1984.0",29.5
"83","Switzerland","1984.0",33.4788466233474
"84","United Kingdom","1984.0",33.3192302997296
"85","United States","1984.0",35.2692307692308
"86","Australia","1985.0",34.3384610689603
"87","Belgium","1985.0",34.5961538461538
"88","Canada","1985.0",34.265385554387
"89","Denmark","1985.0",31.1269226074219
"90","Finland","1985.0",34.8730773925781
"91","France","1985.0",33.2884615384615
"92","Greece","1985.0",40.6538461538462
"93","Hungary","1985.0",38.6923076923077
"94","Iceland","1985.0",35.7115384615385
"95","Ireland","1985.0",37.9038461538462
"96","Italy","1985.0",35.8059621957632
"97","Japan","1985.0",40.25
"98","Korea, Rep.","1985.0",55.6538461538462
"99","Luxembourg","1985.0",34
"100","Norway","1985.0",29.6576913686899
"101","Spain","1985.0",34.0519221379207
"102","Sweden","1985.0",29.578845684345
"103","Switzerland","1985.0",33.359614445613
"104","United Kingdom","1985.0",33.953845684345
"105","United States","1985.0",35.2307692307692
"106","Australia","1986.0",34.4826918381911
"107","Belgium","1986.0",34.2115384615385
"108","Canada","1986.0",34.2326918381911
"109","Denmark","1986.0",31.1903850848858
"110","Finland","1986.0",34.4749990609976
"111","France","1986.0",33.0769230769231
"112","Greece","1986.0",40.2307692307692
"113","Hungary","1986.0",38.5192307692308
"114","Iceland","1986.0",35.5576923076923
"115","Ireland","1986.0",38.5384615384615
"116","Italy","1986.0",35.9684612567608
"117","Japan","1986.0",40.3269230769231
"118","Korea, Rep.","1986.0",56.2115384615385
"119","Luxembourg","1986.0",33.8269230769231
"120","New Zealand","1986.0",35.2673081618089
"121","Norway","1986.0",29.5807682917668
"122","Portugal","1986.0",37.3653846153846
"123","Spain","1986.0",33.9134615384615
"124","Sweden","1986.0",29.5403841458834
"125","Switzerland","1986.0",33.1961529071514
"126","United Kingdom","1986.0",34.0057701697716
"127","United States","1986.0",35.0961538461538
"128","Australia","1987.0",34.655768761268
"129","Belgium","1987.0",33.9038461538462
"130","Canada","1987.0",34.4346149151142
"131","Denmark","1987.0",30.5250009390024
"132","Finland","1987.0",34.5826932466947
"133","France","1987.0",33
"134","Greece","1987.0",39.5192307692308
"135","Hungary","1987.0",39.3653846153846
"136","Iceland","1987.0",35.5192307692308
"137","Ireland","1987.0",38.1538461538462
"138","Italy","1987.0",36.3367309570312
"139","Japan","1987.0",40.3076923076923
"140","Korea, Rep.","1987.0",55.6153846153846
"141","Luxembourg","1987.0",33.7884615384615
"142","Netherlands","1987.0",29.6153846153846
"143","New Zealand","1987.0",35.3557692307692
"144","Norway","1987.0",29.0499995304988
"145","Portugal","1987.0",37.6730769230769
"146","Spain","1987.0",33.7461547851562
"147","Sweden","1987.0",29.734614445613
"148","Switzerland","1987.0",33.1730769230769
"149","United Kingdom","1987.0",33.7999995304988
"150","United States","1987.0",35.1923076923077
"151","Australia","1988.0",34.8192302997296
"152","Belgium","1988.0",33.6538461538462
"153","Canada","1988.0",34.4711538461538
"154","Denmark","1988.0",30.1788470928486
"155","Finland","1988.0",34.7365394005409
"156","France","1988.0",33.0384615384615
"157","Greece","1988.0",39.3846153846154
"158","Hungary","1988.0",39.25
"159","Iceland","1988.0",35.6730769230769
"160","Ireland","1988.0",38.3076923076923
"161","Italy","1988.0",36.4073087252103
"162","Japan","1988.0",40.2307692307692
"163","Korea, Rep.","1988.0",54.7307692307692
"164","Luxembourg","1988.0",34.2115384615385
"165","Netherlands","1988.0",29.0192307692308
"166","New Zealand","1988.0",35.203845684345
"167","Norway","1988.0",29.1019240159255
"168","Portugal","1988.0",37.6346153846154
"169","Spain","1988.0",33.6788470928486
"170","Sweden","1988.0",30.1115394005409
"171","Switzerland","1988.0",33.1626915564904
"172","United Kingdom","1988.0",34.5730778620793
"173","United States","1988.0",35.25
"174","Australia","1989.0",34.7096158541166
"175","Belgium","1989.0",33.4807692307692
"176","Canada","1989.0",34.3557692307692
"177","Denmark","1989.0",29.8461538461538
"178","Finland","1989.0",34.6615389310397
"179","France","1989.0",32.6730769230769
"180","Greece","1989.0",39.9038461538462
"181","Hungary","1989.0",38.7692307692308
"182","Iceland","1989.0",35.5769230769231
"183","Ireland","1989.0",38.4423076923077
"184","Italy","1989.0",36.1017315204327
"185","Japan","1989.0",39.8076923076923
"186","Korea, Rep.","1989.0",52.7307692307692
"187","Luxembourg","1989.0",33.9807692307692
"188","Netherlands","1989.0",28.7884615384615
"189","New Zealand","1989.0",35.0134605994591
"190","Norway","1989.0",29.0480769230769
"191","Portugal","1989.0",38
"192","Spain","1989.0",33.4500004695012
"193","Sweden","1989.0",30.0884610689603
"194","Switzerland","1989.0",32.8730773925781
"195","United Kingdom","1989.0",34.3423086313101
"196","United States","1989.0",35.4807692307692
"197","Argentina","1990.0",38.7115384615385
"198","Australia","1990.0",34.5250009390024
"199","Belgium","1990.0",33.7307692307692
"200","Brazil","1990.0",34.5384615384615
"201","Canada","1990.0",34.1615389310397
"202","Chile","1990.0",38.1538461538462
"203","Costa Rica","1990.0",35.7884615384615
"204","Denmark","1990.0",29.5903836763822
"205","Ecuador","1990.0",34.0576923076923
"206","El Salvador","1990.0",37.2884615384615
"207","Finland","1990.0",34.0250009390024
"208","France","1990.0",32.7307692307692
"209","Greece","1990.0",39.9038461538462
"210","Honduras","1990.0",35.7115384615385
"211","Hungary","1990.0",37.9807692307692
"212","Iceland","1990.0",35.3653846153846
"213","Ireland","1990.0",38.2307692307692
"214","Italy","1990.0",35.8955758901743
"215","Japan","1990.0",39.0576923076923
"216","Korea, Rep.","1990.0",51.6923076923077
"217","Luxembourg","1990.0",33.9615384615385
"218","Mexico","1990.0",33.9807692307692
"219","Netherlands","1990.0",28.9230769230769
"220","New Zealand","1990.0",34.8076923076923
"221","Norway","1990.0",28.8961533766526
"222","Panama","1990.0",32.8846153846154
"223","Paraguay","1990.0",39.0192307692308
"224","Portugal","1990.0",37.7307692307692
"225","Spain","1990.0",33.4807692307692
"226","Sweden","1990.0",30.0173081618089
"227","Switzerland","1990.0",32.6913452148438
"228","United Kingdom","1990.0",34.0519221379207
"229","United States","1990.0",35.1346153846154
"230","Uruguay","1990.0",34.3846153846154
"231","Australia","1991.0",34.1365379920373
"232","Belgium","1991.0",32.9807692307692
"233","Canada","1991.0",33.7634605994591
"234","Colombia","1991.0",38
"235","Denmark","1991.0",29.4942298302284
"236","Finland","1991.0",33.5903836763822
"237","France","1991.0",32.5769230769231
"238","Germany","1991.0",29.7711533766526
"239","Greece","1991.0",39.9230769230769
"240","Hungary","1991.0",37.3653846153846
"241","Iceland","1991.0",35.4423076923077
"242","Ireland","1991.0",37.5769230769231
"243","Italy","1991.0",35.76173048753
"244","Japan","1991.0",38.4230769230769
"245","Korea, Rep.","1991.0",51.3846153846154
"246","Luxembourg","1991.0",33.5961538461538
"247","Mexico","1991.0",35.0365389310397
"248","Netherlands","1991.0",28.2884615384615
"249","New Zealand","1991.0",34.4769240159255
"250","Norway","1991.0",28.8519240159255
"251","Peru","1991.0",37.7692307692308
"252","Portugal","1991.0",36.3076923076923
"253","Spain","1991.0",33.6480759840745
"254","Sweden","1991.0",29.7634605994591
"255","Switzerland","1991.0",32.6469233586238
"256","United Kingdom","1991.0",33.9901921198918
"257","United States","1991.0",34.9038461538462
"258","Australia","1992.0",34.3365384615385
"259","Belgium","1992.0",32.5576923076923
"260","Canada","1992.0",33.7461547851562
"261","Denmark","1992.0",29.890385554387
"262","Finland","1992.0",33.7096158541166
"263","France","1992.0",32.5961538461538
"264","Germany","1992.0",30.1192298302284
"265","Greece","1992.0",40.4807692307692
"266","Hong Kong, China","1992.0",43.9807692307692
"267","Hungary","1992.0",36.5192307692308
"268","Iceland","1992.0",35.75
"269","Ireland","1992.0",36.6923076923077
"270","Italy","1992.0",35.8223078801082
"271","Japan","1992.0",37.7884615384615
"272","Korea, Rep.","1992.0",50.9615384615385
"273","Luxembourg","1992.0",33.1538461538462
"274","Netherlands","1992.0",27.8269230769231
"275","New Zealand","1992.0",34.6211547851562
"276","Norway","1992.0",29.0403841458834
"277","Portugal","1992.0",35.6346153846154
"278","Spain","1992.0",33.4923072228065
"279","Sweden","1992.0",30.1019240159255
"280","Switzerland","1992.0",32.8359609750601
"281","United Kingdom","1992.0",33.3153850848858
"282","United States","1992.0",34.9230769230769
"283","Australia","1993.0",34.6038466233474
"284","Belgium","1993.0",31.6538461538462
"285","Canada","1993.0",33.7403846153846
"286","Czech Rep.","1993.0",39.6865375225361
"287","Denmark","1993.0",29.9076913686899
"288","Finland","1993.0",33.7557701697716
"289","France","1993.0",32.3461538461538
"290","Germany","1993.0",29.8057697002704
"291","Greece","1993.0",40.8653846153846
"292","Hungary","1993.0",36.5192307692308
"293","Iceland","1993.0",35.1538461538462
"294","Ireland","1993.0",36.2115384615385
"295","Italy","1993.0",35.8196152907151
"296","Japan","1993.0",36.6346153846154
"297","Korea, Rep.","1993.0",51.2884615384615
"298","Luxembourg","1993.0",33.3076923076923
"299","Mexico","1993.0",35.0250009390024
"300","Netherlands","1993.0",27.2884615384615
"301","New Zealand","1993.0",35.655768761268
"302","Nicaragua","1993.0",34.3846153846154
"303","Norway","1993.0",28.9788466233474
"304","Portugal","1993.0",35.5769230769231
"305","Spain","1993.0",33.3403836763822
"306","Sweden","1993.0",30.7100008451022
"307","Switzerland","1993.0",32.7711533766526
"308","United Kingdom","1993.0",33.1942302997296
"309","United States","1993.0",35.0961538461538
"310","Australia","1994.0",34.7442298302284
"311","Bangladesh","1994.0",44.25
"312","Belgium","1994.0",31.6538461538462
"313","Canada","1994.0",33.8826927771935
"314","Czech Rep.","1994.0",39.2923067533053
"315","Denmark","1994.0",29.7673081618089
"316","Fiji","1994.0",37.5384615384615
"317","Finland","1994.0",34.1307701697716
"318","France","1994.0",32.2115384615385
"319","Germany","1994.0",29.7538452148438
"320","Greece","1994.0",40.2307692307692
"321","Hungary","1994.0",39.0769230769231
"322","Iceland","1994.0",34.8653846153846
"323","Ireland","1994.0",36.2115384615385
"324","Italy","1994.0",35.7030780498798
"325","Japan","1994.0",36.5
"326","Korea, Rep.","1994.0",50.9807692307692
"327","Luxembourg","1994.0",32.8653846153846
"328","Malaysia","1994.0",43.1538461538462
"329","Nepal","1994.0",37.5961538461538
"330","Netherlands","1994.0",27.1346153846154
"331","New Zealand","1994.0",35.5480769230769
"332","Norway","1994.0",28.9403850848858
"333","Pakistan","1994.0",33.1346153846154
"334","Portugal","1994.0",35.3461538461538
"335","Slovak Republic","1994.0",35.6461533766526
"336","Spain","1994.0",33.3307682917668
"337","Sri Lanka","1994.0",44
"338","Sweden","1994.0",30.9224994365986
"339","Switzerland","1994.0",33.172114445613
"340","Thailand","1994.0",42.8461538461538
"341","United Kingdom","1994.0",33.4634610689603
"342","United States","1994.0",35.25
"343","Australia","1995.0",34.6634615384615
"344","Austria","1995.0",31.6615389310397
"345","Belgium","1995.0",32.1923076923077
"346","Canada","1995.0",33.859614445613
"347","Colombia","1995.0",37.6923076923077
"348","Czech Rep.","1995.0",39.6980778620793
"349","Denmark","1995.0",29.625
"350","Ecuador","1995.0",37.3653846153846
"351","Finland","1995.0",34.1538461538462
"352","France","1995.0",31.75
"353","Germany","1995.0",29.4923072228065
"354","Greece","1995.0",40.0384615384615
"355","Hungary","1995.0",39.203845684345
"356","Iceland","1995.0",35.2307692307692
"357","Ireland","1995.0",36.0576923076923
"358","Italy","1995.0",35.747307410607
"359","Japan","1995.0",36.2307692307692
"360","Korea, Rep.","1995.0",51.1153846153846
"361","Luxembourg","1995.0",33.0576923076923
"362","Mexico","1995.0",35.719231238732
"363","Netherlands","1995.0",26.75
"364","New Zealand","1995.0",35.4153841458834
"365","Norway","1995.0",28.6115394005409
"366","Portugal","1995.0",36.4807692307692
"367","Slovak Republic","1995.0",36.1423081618089
"368","Spain","1995.0",33.3250004695012
"369","Sweden","1995.0",30.9453852726863
"370","Switzerland","1995.0",32.7384620079627
