"","Species","Part","Length","Width"
"1","setosa","Petal",1.4,0.2
"2","setosa","Petal",1.4,0.2
"3","setosa","Petal",1.3,0.2
"4","setosa","Petal",1.5,0.2
"5","setosa","Petal",1.4,0.2
"6","setosa","Petal",1.7,0.4
"7","setosa","Petal",1.4,0.3
"8","setosa","Petal",1.5,0.2
"9","setosa","Petal",1.4,0.2
"10","setosa","Petal",1.5,0.1
"11","setosa","Petal",1.5,0.2
"12","setosa","Petal",1.6,0.2
"13","setosa","Petal",1.4,0.1
"14","setosa","Petal",1.1,0.1
"15","setosa","Petal",1.2,0.2
"16","setosa","Petal",1.5,0.4
"17","setosa","Petal",1.3,0.4
"18","setosa","Petal",1.4,0.3
"19","setosa","Petal",1.7,0.3
"20","setosa","Petal",1.5,0.3
"21","setosa","Petal",1.7,0.2
"22","setosa","Petal",1.5,0.4
"23","setosa","Petal",1,0.2
"24","setosa","Petal",1.7,0.5
"25","setosa","Petal",1.9,0.2
"26","setosa","Petal",1.6,0.2
"27","setosa","Petal",1.6,0.4
"28","setosa","Petal",1.5,0.2
"29","setosa","Petal",1.4,0.2
"30","setosa","Petal",1.6,0.2
"31","setosa","Petal",1.6,0.2
"32","setosa","Petal",1.5,0.4
"33","setosa","Petal",1.5,0.1
"34","setosa","Petal",1.4,0.2
"35","setosa","Petal",1.5,0.2
"36","setosa","Petal",1.2,0.2
"37","setosa","Petal",1.3,0.2
"38","setosa","Petal",1.4,0.1
"39","setosa","Petal",1.3,0.2
"40","setosa","Petal",1.5,0.2
"41","setosa","Petal",1.3,0.3
"42","setosa","Petal",1.3,0.3
"43","setosa","Petal",1.3,0.2
"44","setosa","Petal",1.6,0.6
"45","setosa","Petal",1.9,0.4
"46","setosa","Petal",1.4,0.3
"47","setosa","Petal",1.6,0.2
"48","setosa","Petal",1.4,0.2
"49","setosa","Petal",1.5,0.2
"50","setosa","Petal",1.4,0.2
"51","setosa","Sepal",5.1,3.5
"52","setosa","Sepal",4.9,3
"53","setosa","Sepal",4.7,3.2
"54","setosa","Sepal",4.6,3.1
"55","setosa","Sepal",5,3.6
"56","setosa","Sepal",5.4,3.9
"57","setosa","Sepal",4.6,3.4
"58","setosa","Sepal",5,3.4
"59","setosa","Sepal",4.4,2.9
"60","setosa","Sepal",4.9,3.1
"61","setosa","Sepal",5.4,3.7
"62","setosa","Sepal",4.8,3.4
"63","setosa","Sepal",4.8,3
"64","setosa","Sepal",4.3,3
"65","setosa","Sepal",5.8,4
"66","setosa","Sepal",5.7,4.4
"67","setosa","Sepal",5.4,3.9
"68","setosa","Sepal",5.1,3.5
"69","setosa","Sepal",5.7,3.8
"70","setosa","Sepal",5.1,3.8
"71","setosa","Sepal",5.4,3.4
"72","setosa","Sepal",5.1,3.7
"73","setosa","Sepal",4.6,3.6
"74","setosa","Sepal",5.1,3.3
"75","setosa","Sepal",4.8,3.4
"76","setosa","Sepal",5,3
"77","setosa","Sepal",5,3.4
"78","setosa","Sepal",5.2,3.5
"79","setosa","Sepal",5.2,3.4
"80","setosa","Sepal",4.7,3.2
"81","setosa","Sepal",4.8,3.1
"82","setosa","Sepal",5.4,3.4
"83","setosa","Sepal",5.2,4.1
"84","setosa","Sepal",5.5,4.2
"85","setosa","Sepal",4.9,3.1
"86","setosa","Sepal",5,3.2
"87","setosa","Sepal",5.5,3.5
"88","setosa","Sepal",4.9,3.6
"89","setosa","Sepal",4.4,3
"90","setosa","Sepal",5.1,3.4
"91","setosa","Sepal",5,3.5
"92","setosa","Sepal",4.5,2.3
"93","setosa","Sepal",4.4,3.2
"94","setosa","Sepal",5,3.5
"95","setosa","Sepal",5.1,3.8
"96","setosa","Sepal",4.8,3
"97","setosa","Sepal",5.1,3.8
"98","setosa","Sepal",4.6,3.2
"99","setosa","Sepal",5.3,3.7
"100","setosa","Sepal",5,3.3
"101","versicolor","Petal",4.7,1.4
"102","versicolor","Petal",4.5,1.5
"103","versicolor","Petal",4.9,1.5
"104","versicolor","Petal",4,1.3
"105","versicolor","Petal",4.6,1.5
"106","versicolor","Petal",4.5,1.3
"107","versicolor","Petal",4.7,1.6
"108","versicolor","Petal",3.3,1
"109","versicolor","Petal",4.6,1.3
"110","versicolor","Petal",3.9,1.4
"111","versicolor","Petal",3.5,1
"112","versicolor","Petal",4.2,1.5
"113","versicolor","Petal",4,1
"114","versicolor","Petal",4.7,1.4
"115","versicolor","Petal",3.6,1.3
"116","versicolor","Petal",4.4,1.4
"117","versicolor","Petal",4.5,1.5
"118","versicolor","Petal",4.1,1
"119","versicolor","Petal",4.5,1.5
"120","versicolor","Petal",3.9,1.1
"121","versicolor","Petal",4.8,1.8
"122","versicolor","Petal",4,1.3
"123","versicolor","Petal",4.9,1.5
"124","versicolor","Petal",4.7,1.2
"125","versicolor","Petal",4.3,1.3
"126","versicolor","Petal",4.4,1.4
"127","versicolor","Petal",4.8,1.4
"128","versicolor","Petal",5,1.7
"129","versicolor","Petal",4.5,1.5
"130","versicolor","Petal",3.5,1
"131","versicolor","Petal",3.8,1.1
"132","versicolor","Petal",3.7,1
"133","versicolor","Petal",3.9,1.2
"134","versicolor","Petal",5.1,1.6
"135","versicolor","Petal",4.5,1.5
"136","versicolor","Petal",4.5,1.6
"137","versicolor","Petal",4.7,1.5
"138","versicolor","Petal",4.4,1.3
"139","versicolor","Petal",4.1,1.3
"140","versicolor","Petal",4,1.3
"141","versicolor","Petal",4.4,1.2
"142","versicolor","Petal",4.6,1.4
"143","versicolor","Petal",4,1.2
"144","versicolor","Petal",3.3,1
"145","versicolor","Petal",4.2,1.3
"146","versicolor","Petal",4.2,1.2
"147","versicolor","Petal",4.2,1.3
"148","versicolor","Petal",4.3,1.3
"149","versicolor","Petal",3,1.1
"150","versicolor","Petal",4.1,1.3
"151","versicolor","Sepal",7,3.2
"152","versicolor","Sepal",6.4,3.2
"153","versicolor","Sepal",6.9,3.1
"154","versicolor","Sepal",5.5,2.3
"155","versicolor","Sepal",6.5,2.8
"156","versicolor","Sepal",5.7,2.8
"157","versicolor","Sepal",6.3,3.3
"158","versicolor","Sepal",4.9,2.4
"159","versicolor","Sepal",6.6,2.9
"160","versicolor","Sepal",5.2,2.7
"161","versicolor","Sepal",5,2
"162","versicolor","Sepal",5.9,3
"163","versicolor","Sepal",6,2.2
"164","versicolor","Sepal",6.1,2.9
"165","versicolor","Sepal",5.6,2.9
"166","versicolor","Sepal",6.7,3.1
"167","versicolor","Sepal",5.6,3
"168","versicolor","Sepal",5.8,2.7
"169","versicolor","Sepal",6.2,2.2
"170","versicolor","Sepal",5.6,2.5
"171","versicolor","Sepal",5.9,3.2
"172","versicolor","Sepal",6.1,2.8
"173","versicolor","Sepal",6.3,2.5
"174","versicolor","Sepal",6.1,2.8
"175","versicolor","Sepal",6.4,2.9
"176","versicolor","Sepal",6.6,3
"177","versicolor","Sepal",6.8,2.8
"178","versicolor","Sepal",6.7,3
"179","versicolor","Sepal",6,2.9
"180","versicolor","Sepal",5.7,2.6
"181","versicolor","Sepal",5.5,2.4
"182","versicolor","Sepal",5.5,2.4
"183","versicolor","Sepal",5.8,2.7
"184","versicolor","Sepal",6,2.7
"185","versicolor","Sepal",5.4,3
"186","versicolor","Sepal",6,3.4
"187","versicolor","Sepal",6.7,3.1
"188","versicolor","Sepal",6.3,2.3
"189","versicolor","Sepal",5.6,3
"190","versicolor","Sepal",5.5,2.5
"191","versicolor","Sepal",5.5,2.6
"192","versicolor","Sepal",6.1,3
"193","versicolor","Sepal",5.8,2.6
"194","versicolor","Sepal",5,2.3
"195","versicolor","Sepal",5.6,2.7
"196","versicolor","Sepal",5.7,3
"197","versicolor","Sepal",5.7,2.9
"198","versicolor","Sepal",6.2,2.9
"199","versicolor","Sepal",5.1,2.5
"200","versicolor","Sepal",5.7,2.8
"201","virginica","Petal",6,2.5
"202","virginica","Petal",5.1,1.9
"203","virginica","Petal",5.9,2.1
"204","virginica","Petal",5.6,1.8
"205","virginica","Petal",5.8,2.2
"206","virginica","Petal",6.6,2.1
"207","virginica","Petal",4.5,1.7
"208","virginica","Petal",6.3,1.8
"209","virginica","Petal",5.8,1.8
"210","virginica","Petal",6.1,2.5
"211","virginica","Petal",5.1,2
"212","virginica","Petal",5.3,1.9
"213","virginica","Petal",5.5,2.1
"214","virginica","Petal",5,2
"215","virginica","Petal",5.1,2.4
"216","virginica","Petal",5.3,2.3
"217","virginica","Petal",5.5,1.8
"218","virginica","Petal",6.7,2.2
"219","virginica","Petal",6.9,2.3
"220","virginica","Petal",5,1.5
"221","virginica","Petal",5.7,2.3
"222","virginica","Petal",4.9,2
"223","virginica","Petal",6.7,2
"224","virginica","Petal",4.9,1.8
"225","virginica","Petal",5.7,2.1
"226","virginica","Petal",6,1.8
"227","virginica","Petal",4.8,1.8
"228","virginica","Petal",4.9,1.8
"229","virginica","Petal",5.6,2.1
"230","virginica","Petal",5.8,1.6
"231","virginica","Petal",6.1,1.9
"232","virginica","Petal",6.4,2
"233","virginica","Petal",5.6,2.2
"234","virginica","Petal",5.1,1.5
"235","virginica","Petal",5.6,1.4
"236","virginica","Petal",6.1,2.3
"237","virginica","Petal",5.6,2.4
"238","virginica","Petal",5.5,1.8
"239","virginica","Petal",4.8,1.8
"240","virginica","Petal",5.4,2.1
"241","virginica","Petal",5.6,2.4
"242","virginica","Petal",5.1,2.3
"243","virginica","Petal",5.1,1.9
"244","virginica","Petal",5.9,2.3
"245","virginica","Petal",5.7,2.5
"246","virginica","Petal",5.2,2.3
"247","virginica","Petal",5,1.9
"248","virginica","Petal",5.2,2
"249","virginica","Petal",5.4,2.3
"250","virginica","Petal",5.1,1.8
"251","virginica","Sepal",6.3,3.3
"252","virginica","Sepal",5.8,2.7
"253","virginica","Sepal",7.1,3
"254","virginica","Sepal",6.3,2.9
"255","virginica","Sepal",6.5,3
"256","virginica","Sepal",7.6,3
"257","virginica","Sepal",4.9,2.5
"258","virginica","Sepal",7.3,2.9
"259","virginica","Sepal",6.7,2.5
"260","virginica","Sepal",7.2,3.6
"261","virginica","Sepal",6.5,3.2
"262","virginica","Sepal",6.4,2.7
"263","virginica","Sepal",6.8,3
"264","virginica","Sepal",5.7,2.5
"265","virginica","Sepal",5.8,2.8
"266","virginica","Sepal",6.4,3.2
"267","virginica","Sepal",6.5,3
"268","virginica","Sepal",7.7,3.8
"269","virginica","Sepal",7.7,2.6
"270","virginica","Sepal",6,2.2
"271","virginica","Sepal",6.9,3.2
"272","virginica","Sepal",5.6,2.8
"273","virginica","Sepal",7.7,2.8
"274","virginica","Sepal",6.3,2.7
"275","virginica","Sepal",6.7,3.3
"276","virginica","Sepal",7.2,3.2
"277","virginica","Sepal",6.2,2.8
"278","virginica","Sepal",6.1,3
"279","virginica","Sepal",6.4,2.8
"280","virginica","Sepal",7.2,3
"281","virginica","Sepal",7.4,2.8
"282","virginica","Sepal",7.9,3.8
"283","virginica","Sepal",6.4,2.8
"284","virginica","Sepal",6.3,2.8
"285","virginica","Sepal",6.1,2.6
"286","virginica","Sepal",7.7,3
"287","virginica","Sepal",6.3,3.4
"288","virginica","Sepal",6.4,3.1
"289","virginica","Sepal",6,3
"290","virginica","Sepal",6.9,3.1
"291","virginica","Sepal",6.7,3.1
"292","virginica","Sepal",6.9,3.1
"293","virginica","Sepal",5.8,2.7
"294","virginica","Sepal",6.8,3.2
"295","virginica","Sepal",6.7,3.3
"296","virginica","Sepal",6.7,3
"297","virginica","Sepal",6.3,2.5
"298","virginica","Sepal",6.5,3
"299","virginica","Sepal",6.2,3.4
"300","virginica","Sepal",5.9,3